序号,卫星NORAD,卫星intlid,卫星名称,发射时间,开始时间,结束时间,持续时长,阶段标定,轨道高度
,44236,19029B,,,20191021,20191204,44,G,552.805515
,44236,19029B,,,20191211,20200101,21,G,532.521332
,44236,19029B,,,20200105,20200114,9,G,519.650184
,44236,19029B,,,20200206,20200212,6,G,450.578834
,44236,19029B,,,20200228,20200314,15,G,405.636775
,44236,19029B,,,20200317,20200612,87,G,395.825983
,44236,19029B,,,20200621,20200710,19,G,361.203158
,44237,19029C,,,20191130,20200524,176,G,526.946420
,44237,19029C,,,20200612,20200714,32,G,436.378375
,44239,19029E,,,20200606,20200715,39,G,433.834790
,44240,19029F,,,20191029,20191104,6,G,544.168561
,44240,19029F,,,20191106,20191120,14,G,541.375140
,44240,19029F,,,20191211,20200121,41,G,446.195867
,44241,19029G,,,20191130,20200525,177,G,522.529867
,44241,19029G,,,20200613,20200714,31,G,436.020390
,44242,19029H,,,20191129,20191231,32,G,528.888865
,44242,19029H,,,20200113,20200201,19,G,452.057661
,44242,19029H,,,20200218,20200314,25,G,404.918164
,44242,19029H,,,20200317,20200620,95,G,392.930051
,44244,19029K,,,20191130,20200523,175,G,532.465502
,44244,19029K,,,20200612,20200714,32,G,436.511540
,44245,19029L,,,20191130,20200524,176,G,529.614674
,44245,19029L,,,20200607,20200614,7,G,460.529303
,44245,19029L,,,20200831,20200901,1,G,251.749191
,44246,19029M,,,20191130,20191229,29,G,274.988212
,44246,19029M,,,20200125,20200201,7,G,263.610330
,44246,19029M,,,20200217,20200314,26,G,
,44246,19029M,,,20200318,20200604,78,G,
,44246,19029M,,,20200611,20200711,30,G,
,44247,19029N,,,20191130,20191230,30,G,530.441773
,44247,19029N,,,20200125,20200201,7,G,452.010218
,44247,19029N,,,20200217,20200314,26,G,405.581461
,44247,19029N,,,20200318,20200604,78,G,390.365803
,44247,19029N,,,20200628,20200710,12,G,362.786000
,44248,19029P,,,20191130,20200122,53,G,532.572573
,44248,19029P,,,20200218,20200328,39,G,450.351528
,44248,19029P,,,20200407,20200603,57,G,389.191230
,44248,19029P,,,20200610,20200702,22,G,353.848530
,44249,19029Q,,,20190613,20190629,16,C,537.607124
,44249,19029Q,,,20200123,20200915,236,G,
,44250,19029R,,,20191130,20200523,175,G,532.821898
,44250,19029R,,,20200613,20200715,32,G,431.730856
,44251,19029S,,,20191126,20191207,11,G,540.664680
,44251,19029S,,,20191209,20200524,167,G,529.263470
,44251,19029S,,,20200612,20200714,32,G,436.679572
,44252,19029T,,,20191130,20210304,460,G,528.654596
,44253,19029U,,,20191130,20200525,177,G,522.636925
,44253,19029U,,,20200610,20200715,35,G,431.681499
,44254,19029V,,,20191130,20200525,177,G,522.184152
,44254,19029V,,,20200610,20200715,35,G,431.847823
,44255,19029W,,,20191130,20191229,29,G,530.828034
,44255,19029W,,,20200124,20200201,8,G,452.049186
,44255,19029W,,,20200217,20200315,27,G,402.848569
,44255,19029W,,,20200617,20200628,11,G,381.688242
,44255,19029W,,,20200702,20200730,28,G,267.392474
,44256,19029X,,,20191130,20200102,33,G,529.967840
,44256,19029X,,,20191124,20200111,48,G,520.326381
,44258,19029Z,,,20191201,20200524,175,G,527.081718
,44258,19029Z,,,20200612,20200714,32,G,436.571275
,44258,19029Z,,,20200821,20200831,10,G,243.002423
,44259,19029AA,,,20200323,20200614,83,G,390.440286
,44259,19029AA,,,20200617,20200703,16,G,376.741512
,44260,19029AB,,,20191130,20200523,175,G,532.526926
,44260,19029AB,,,20200613,20200715,32,G,431.723399
,44261,19029AC,,,20191130,20200523,175,G,532.651845
,44261,19029AC,,,20200613,20200715,32,G,437.425134
,44262,19029AD,,,20191130,20200523,175,G,532.517158
,44262,19029AD,,,20200613,20200715,32,G,431.683656
,44263,19029AE,,,20191130,20200102,33,G,529.971820
,44263,19029AE,,,20200116,20200523,128,G,532.934925
,44263,19029AE,,,20200613,20200715,32,G,431.852594
,44264,19029AF,,,20191130,20200524,176,G,532.072837
,44264,19029AF,,,20200612,20200714,32,G,437.408534
,44265,19029AG,,,20191130,20200102,33,G,529.947304
,44265,19029AG,,,20200115,20200524,130,G,527.689409
,44265,19029AG,,,20200612,20200714,32,G,436.425440
,44266,19029AH,,,20191130,20200102,33,G,535.083964
,44266,19029AH,,,20200108,20200524,137,G,526.708295
,44266,19029AH,,,20200612,20200714,32,G,435.947390
,44267,19029AJ,,,20191130,20200102,33,G,530.063973
,44267,19029AJ,,,20200115,20200524,130,G,528.352883
,44267,19029AJ,,,20200612,20200714,32,G,436.627407
,44268,19029AK,,,20191127,20191228,31,G,531.545841
,44268,19029AK,,,20200124,20200202,9,G,450.572071
,44268,19029AK,,,20200216,20200314,27,G,404.954823
,44269,19029AL,,,20191126,20191202,6,G,545.400352
,44269,19029AL,,,20191206,20200524,170,G,530.430735
,44269,19029AL,,,20200613,20200715,32,G,431.531875
,44270,19029AM,,,20191130,20200125,56,G,525.663124
,44270,19029AM,,,20200219,20200328,38,G,442.804114
,44270,19029AM,,,20200406,20200626,81,G,380.204711
,44271,19029AN,,,20191130,20200102,33,G,529.956341
,44271,19029AN,,,20200114,20200524,131,G,529.182428
,44271,19029AN,,,20200612,20200714,32,G,436.563452
,44272,19029AP,,,20191130,20200524,176,G,530.904812
,44272,19029AP,,,20200612,20200714,32,G,436.517374
,44274,19029AR,,,20191130,20200123,54,G,532.502292
,44274,19029AR,,,20200219,20200328,38,G,450.027131
,44274,19029AR,,,20200407,20200604,58,G,387.550385
,44274,19029AR,,,20200611,20200708,27,G,362.517055
,44275,19029AS,,,20191211,20191231,20,G,531.675287
,44276,19029AT,,,20191130,20200525,177,G,522.900621
,44276,19029AT,,,20200618,20200812,55,G,433.551221
,44276,19029AT,,,20200823,20200913,21,G,388.413282
,44277,19029AU,,,20191211,20200114,34,G,521.874147
,44277,19029AU,,,20200315,20200604,81,G,381.370921
,44277,19029AU,,,20200609,20200711,32,G,357.207558
,44278,19029AV,,,20190619,20190709,20,G,399.612797
,44279,19029AW,,,20191129,20200101,33,G,532.562116
,44279,19029AW,,,20200116,20200524,129,G,532.608803
,44280,19029AX,,,20191201,20200525,176,G,523.771788
,44280,19029AX,,,20200613,20200715,32,G,431.885618
,44281,19029AY,,,20191130,20200116,47,G,527.988750
,44281,19029AY,,,20200117,20200524,128,G,527.936131
,44281,19029AY,,,20200607,20200829,83,G,465.966197
,44283,19029BA,,,20191129,20200525,178,G,525.698528
,44283,19029BA,,,20200612,20200716,34,G,426.394290
,44284,19029BB,,,20191129,20200525,178,G,524.450744
,44284,19029BB,,,20200612,20200716,34,G,426.388030
,44285,19029BC,,,20191129,20200530,183,G,529.942312
,44285,19029BC,,,20200622,20200715,23,G,431.488389
,44286,19029BD,,,20200301,20200622,113,G,384.485168
,44287,19029BE,,,20191130,20200524,176,G,527.898876
,44288,19029BF,,,20191130,20200525,177,G,528.119035
,44288,19029BF,,,20200621,20200715,24,G,431.496330
,44289,19029BG,,,20210220,20210305,13,G,449.028553
,44290,19029BH,,,20191130,20200524,176,G,526.397746
,44290,19029BH,,,20200613,20200715,32,G,433.997962
,44291,19029BJ,,,20191130,20200524,176,G,529.729007
,44291,19029BJ,,,20200611,20200715,34,G,431.786158
,44291,19029BJ,,,20200723,20200805,13,G,396.286297
,44292,19029BK,,,20191130,20200524,176,G,533.062305
,44292,19029BK,,,20200611,20200715,34,G,431.860004
,44292,19029BK,,,20200723,20200805,13,G,395.781797
,44293,19029BL,,,20191130,20200524,176,G,528.687076
,44293,19029BL,,,20200613,20200715,32,G,431.589337
,44294,19029BM,,,20191130,20200101,32,G,532.478371
,44294,19029BM,,,20200116,20200524,129,G,531.260069
,44294,19029BM,,,20200613,20200715,32,G,436.256575
,44294,19029BM,,,20200730,20200805,6,G,397.217226
,44713,19074A,,,20191122,20200322,121,C,562.502459
,44714,19074B,,,20191122,20200214,84,C,352.855431
,44715,19074C,,,20191122,20200214,84,C,362.082173
,44716,19074D,,,20191122,20200214,84,C,352.510994
,44716,19074D,,,20200225,20200303,7,C,411.440451
,44717,19074E,,,20191122,20200104,43,C,357.895472
,44718,19074F,,,20191122,20200214,84,C,352.558542
,44719,19074G,,,20191122,20200214,84,C,361.659569
,44720,19074H,,,20191123,20200119,57,C,353.841683
,44721,19074J,,,20191122,20200214,84,C,362.508526
,44722,19074K,,,20191122,20200214,84,C,358.207890
,44723,19074L,,,20191122,20200214,84,C,357.549236
,44724,19074M,,,20191122,20200214,84,C,352.446330
,44725,19074N,,,20191123,20200103,41,C,357.389106
,44726,19074P,,,20191122,20200214,84,C,359.553803
,44728,19074R,,,20191123,20200216,85,C,351.995561
,44728,19074R,,,20210816,20210826,10,G,441.961651
,44728,19074R,,,20210908,20211030,52,G,354.458179
,44728,19074R,,,20211107,20211120,13,G,302.429083
,44729,19074S,,,20191122,20200104,43,C,352.446847
,44730,19074T,,,20191123,20200214,83,C,355.415713
,44730,19074T,,,20210706,20210715,9,G,357.420108
,44731,19074U,,,20191123,20200214,83,C,361.235312
,44732,19074V,,,20191123,20200110,48,C,361.058347
,44733,19074W,,,20191123,20200214,83,C,359.142631
,44735,19074Y,,,20191123,20200104,42,C,352.523297
,44736,19074Z,,,20191123,20200104,42,C,352.464953
,44737,19074AA,,,20191123,20200104,42,C,357.480302
,44738,19074AB,,,20191123,20200104,42,C,364.656851
,44740,19074AD,,,20191123,20200104,42,C,357.057353
,44741,19074AE,,,20191123,20200104,42,C,358.366054
,44749,19074AN,,,20210610,20210618,8,G,441.823434
,44749,19074AN,,,20210714,20210811,28,G,357.399205
,44749,19074AN,,,20210928,20211007,9,G,302.325624
,44750,19074AP,,,20200917,20201010,23,G,430.901479
,44750,19074AP,,,20210130,20210418,78,G,261.350972
,44752,19074AR,,,20191126,20200212,78,C,557.633651
,44753,19074AS,,,20191123,20200215,84,C,363.078100
,44754,19074AT,,,20191123,20200215,84,C,361.706914
,44756,19074AV,,,20191122,20200213,83,C,352.859600
,44756,19074AV,,,20210601,20210610,9,G,440.535475
,44756,19074AV,,,20210629,20210808,40,G,358.866014
,44762,19074BB,,,20191123,20200104,42,C,360.880740
,44764,19074BD,,,20191123,20200104,42,C,360.459564
,44765,19074BE,,,20191123,20200104,42,C,362.555574
,44769,19074BJ,,,20210901,20211001,30,G,440.826946
,44769,19074BJ,,,20220110,20220128,18,G,321.467579
,44772,19074BM,,,20191123,20200104,42,C,352.441208
,44916,20001C,,,20210801,20210811,10,G,440.822955
,44916,20001C,,,20210823,20211120,89,G,355.789987
,44919,20001F,,,20210801,20210826,25,G,442.472922
,44919,20001F,,,20210908,20211030,52,G,354.226345
,44934,20001W,,,20200120,20200228,39,C,354.423216
,44935,20001X,,,20200120,20200228,39,C,352.568063
,44935,20001X,,,20210915,20211030,45,G,355.341585
,44936,20001Y,,,20200120,20200228,39,C,358.197492
,44937,20001Z,,,20200120,20200228,39,C,352.579722
,44938,20001AA,,,20200120,20200228,39,C,356.303702
,44939,20001AB,,,20200120,20200228,39,C,360.048926
,44940,20001AC,,,20200120,20200228,39,C,361.401948
,44941,20001AD,,,20200120,20200228,39,C,355.292255
,44942,20001AE,,,20200120,20200228,39,C,352.501493
,44943,20001AF,,,20200120,20200228,39,C,359.603184
,44944,20001AG,,,20200120,20200228,39,C,355.685991
,44945,20001AH,,,20200120,20200228,39,C,361.369931
,44946,20001AJ,,,20200120,20200228,39,C,357.444034
,44947,20001AK,,,20200120,20200228,39,C,354.372318
,44948,20001AL,,,20200120,20200205,16,C,350.553989
,44949,20001AM,,,20200120,20200228,39,C,358.232762
,44950,20001AN,,,20200120,20200228,39,C,360.425515
,44951,20001AP,,,20200120,20200228,39,C,358.803537
,44952,20001AQ,,,20200120,20200228,39,C,356.008661
,44953,20001AR,,,20200203,20200223,20,C,355.149312
,44954,20001AS,,,20200120,20200311,51,C,352.482134
,44954,20001AS,,,20200318,20200421,34,C,390.879468
,44955,20001AT,,,20200120,20200311,51,C,352.661361
,44955,20001AT,,,20200318,20200421,34,C,391.764962
,44956,20001AU,,,20200120,20200311,51,C,352.435739
,44956,20001AU,,,20200318,20200421,34,C,391.515952
,44957,20001AV,,,20200120,20200311,51,C,352.428931
,44957,20001AV,,,20200318,20200421,34,C,394.192819
,44958,20001AW,,,20200120,20200311,51,C,352.476739
,44958,20001AW,,,20200318,20200421,34,C,394.176569
,44958,20001AW,,,20210522,20210702,41,G,308.320381
,44959,20001AX,,,20200120,20200311,51,C,352.486210
,44959,20001AX,,,20200318,20200421,34,C,396.073007
,44960,20001AY,,,20200120,20200311,51,C,352.598773
,44960,20001AY,,,20200318,20200421,34,C,393.710260
,44960,20001AY,,,20200719,20200802,14,G,451.906931
