Tools,Port 1: hurwa TestFinger  s/n:3BA21801,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: Hurwa SharpProbe  s/n:3B99C404,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190749,1,OK,0.9978357,0.0596737,0.0224288,-0.0161204,18.621,-13.715,-1627.271,0.2090548,4,OK,18.564,-13.692,-1627.293,OK,-20.089,30.926,-1621.117,OK,-23.071,-81.694,-1632.815,OK,-46.488,-12.528,-1624.719,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190749,1,OK,0.9202448,0.0242337,0.1237200,0.3704801,-156.710,128.215,-1617.519,0.0847917,4,OK,-152.197,128.990,-1599.846,OK,-184.596,163.936,-1593.283,OK,-235.975,182.963,-1581.206,OK,-202.258,221.152,-1591.617
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190752,1,OK,0.9978500,0.0595395,0.0221717,-0.0160912,18.627,-13.724,-1627.261,0.2105590,4,OK,18.576,-13.708,-1627.297,OK,-20.093,30.916,-1621.118,OK,-23.056,-81.704,-1632.795,OK,-46.487,-12.531,-1624.764,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190752,1,OK,0.9200539,0.0241138,0.1260742,0.3701683,-156.628,128.276,-1617.457,0.0948111,4,OK,-152.038,129.081,-1599.829,OK,-184.385,164.049,-1593.130,OK,-235.726,183.131,-1580.925,OK,-202.047,221.280,-1591.556
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190755,1,OK,0.9978686,0.0593410,0.0218970,-0.0160447,18.642,-13.720,-1627.236,0.2068347,4,OK,18.582,-13.710,-1627.263,OK,-20.085,30.921,-1621.148,OK,-23.031,-81.702,-1632.775,OK,-46.466,-12.531,-1624.759,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190755,1,OK,0.9201115,0.0288586,0.1211010,0.3713443,-156.775,128.011,-1616.798,0.0984360,4,OK,-152.290,128.592,-1599.136,OK,-184.691,163.460,-1592.175,OK,-236.124,182.339,-1580.024,OK,-202.405,220.653,-1589.979
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190758,1,OK,0.9978546,0.0594801,0.0221062,-0.0161155,18.629,-13.720,-1627.236,0.2073084,4,OK,18.579,-13.706,-1627.253,OK,-20.085,30.924,-1621.133,OK,-23.055,-81.697,-1632.785,OK,-46.494,-12.526,-1624.716,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190758,1,OK,0.9203851,0.0317903,0.1172598,0.3716595,-156.770,127.915,-1616.314,0.1019081,4,OK,-152.378,128.353,-1598.639,OK,-184.783,163.164,-1591.512,OK,-236.276,181.978,-1579.490,OK,-202.481,220.362,-1588.961
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190761,1,OK,0.9978569,0.0594411,0.0221422,-0.0160678,18.626,-13.730,-1627.260,0.2017938,4,OK,18.569,-13.718,-1627.284,OK,-20.096,30.902,-1621.147,OK,-23.051,-81.702,-1632.793,OK,-46.487,-12.539,-1624.747,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190761,1,OK,0.9210982,0.0311845,0.1166384,0.3701366,-156.538,128.155,-1616.505,0.1071285,4,OK,-152.165,128.591,-1598.832,OK,-184.485,163.521,-1591.774,OK,-235.936,182.512,-1579.873,OK,-201.993,220.788,-1589.330
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190764,1,OK,0.9978261,0.0597817,0.0226036,-0.0160711,18.624,-13.714,-1627.275,0.2086275,4,OK,18.573,-13.703,-1627.309,OK,-20.098,30.922,-1621.080,OK,-23.058,-81.691,-1632.809,OK,-46.484,-12.527,-1624.717,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190764,1,OK,0.9213895,0.0324440,0.1149468,0.3698324,-156.473,128.208,-1616.415,0.1012378,4,OK,-152.151,128.583,-1598.721,OK,-184.433,163.529,-1591.634,OK,-235.874,182.530,-1579.771,OK,-201.884,220.784,-1589.014
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190767,1,OK,0.9978574,0.0594564,0.0220884,-0.0160517,18.629,-13.720,-1627.231,0.2036539,4,OK,18.572,-13.712,-1627.257,OK,-20.097,30.915,-1621.118,OK,-23.045,-81.694,-1632.769,OK,-46.483,-12.531,-1624.728,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190767,1,OK,0.9209280,0.0322371,0.1153599,0.3708699,-156.635,128.009,-1616.312,0.0948074,4,OK,-152.289,128.395,-1598.604,OK,-184.664,163.270,-1591.566,OK,-236.149,182.163,-1579.627,OK,-202.241,220.500,-1588.912
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190770,1,OK,0.9978521,0.0595640,0.0219880,-0.0161229,18.633,-13.723,-1627.259,0.2083039,4,OK,18.578,-13.710,-1627.289,OK,-20.085,30.920,-1621.138,OK,-23.051,-81.699,-1632.817,OK,-46.481,-12.523,-1624.775,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190770,1,OK,0.9206174,0.0326864,0.1155544,0.3715405,-156.780,127.901,-1616.334,0.0982943,4,OK,-152.427,128.285,-1598.643,OK,-184.838,163.099,-1591.510,OK,-236.343,181.912,-1579.553,OK,-202.489,220.304,-1588.830
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190773,1,OK,0.9978511,0.0595508,0.0220961,-0.0160844,18.629,-13.717,-1627.260,0.2113056,4,OK,18.577,-13.702,-1627.295,OK,-20.090,30.924,-1621.123,OK,-23.055,-81.692,-1632.801,OK,-46.487,-12.533,-1624.771,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190773,1,OK,0.9201920,0.0337649,0.1144592,0.3728346,-156.967,127.665,-1616.085,0.0914178,4,OK,-152.634,128.004,-1598.369,OK,-185.144,162.724,-1591.219,OK,-236.695,181.382,-1579.224,OK,-202.935,219.861,-1588.337
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111190776,1,OK,0.9978475,0.0596390,0.0220080,-0.0160981,18.629,-13.727,-1627.270,0.2135677,4,OK,18.584,-13.712,-1627.307,OK,-20.093,30.920,-1621.129,OK,-23.059,-81.705,-1632.829,OK,-46.486,-12.539,-1624.795,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111190776,1,OK,0.9193113,0.0359123,0.1142034,0.3748794,-157.290,127.243,-1615.575,0.1000533,4,OK,-152.940,127.512,-1597.883,OK,-185.567,162.070,-1590.474,OK,-237.182,180.471,-1578.379,OK,-203.589,219.137,-1587.351
