Tools,Port 1: hurwa TestFinger  s/n:3BA21801,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: Hurwa SharpProbe  s/n:3B99C404,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191427,1,OK,0.9978586,0.0593695,0.0221694,-0.0161837,18.593,-13.653,-1627.287,0.2052634,4,OK,18.534,-13.637,-1627.312,OK,-20.118,30.995,-1621.177,OK,-23.103,-81.621,-1632.807,OK,-46.513,-12.452,-1624.772,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191427,1,OK,0.4458504,0.0882692,-0.0958999,0.8855671,-34.624,-157.337,-1681.943,0.1395386,4,OK,-33.220,-161.843,-1664.390,OK,-72.091,-189.869,-1668.468,OK,-97.813,-238.541,-1679.339,OK,-131.132,-200.503,-1667.105
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191430,1,OK,0.9978476,0.0595449,0.0222253,-0.0161413,18.595,-13.651,-1627.283,0.2061127,4,OK,18.543,-13.634,-1627.292,OK,-20.114,30.995,-1621.177,OK,-23.094,-81.624,-1632.839,OK,-46.523,-12.458,-1624.736,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191430,1,OK,0.4443553,0.0914918,-0.0961422,0.8859652,-34.438,-157.621,-1681.688,0.1219178,4,OK,-32.926,-162.176,-1664.137,OK,-71.723,-190.339,-1668.173,OK,-97.326,-239.067,-1679.036,OK,-130.707,-201.179,-1666.498
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191433,1,OK,0.9978705,0.0592576,0.0219393,-0.0161776,18.594,-13.651,-1627.269,0.2031633,4,OK,18.537,-13.638,-1627.294,OK,-20.120,30.994,-1621.186,OK,-23.099,-81.614,-1632.791,OK,-46.518,-12.448,-1624.784,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191433,1,OK,0.4434297,0.0974913,-0.0976978,0.8856188,-34.381,-157.735,-1681.343,0.1248921,4,OK,-32.700,-162.429,-1663.847,OK,-71.465,-190.652,-1667.757,OK,-97.062,-239.349,-1678.800,OK,-130.423,-201.625,-1665.636
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191436,1,OK,0.9978523,0.0594758,0.0221951,-0.0161465,18.590,-13.645,-1627.290,0.2063287,4,OK,18.532,-13.633,-1627.318,OK,-20.123,30.998,-1621.165,OK,-23.097,-81.616,-1632.821,OK,-46.522,-12.445,-1624.775,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191436,1,OK,0.4446411,0.1008470,-0.0987439,0.8845190,-34.625,-157.439,-1681.035,0.1437279,4,OK,-32.852,-162.212,-1663.583,OK,-71.725,-190.316,-1667.375,OK,-97.519,-238.914,-1678.551,OK,-130.691,-201.148,-1665.020
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191439,1,OK,0.9978410,0.0595796,0.0223947,-0.0161879,18.580,-13.646,-1627.287,0.2051610,4,OK,18.526,-13.630,-1627.312,OK,-20.128,30.996,-1621.139,OK,-23.117,-81.613,-1632.817,OK,-46.532,-12.443,-1624.742,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191439,1,OK,0.4451796,0.1020268,-0.0982138,0.8841717,-34.716,-157.360,-1680.843,0.1104879,4,OK,-32.906,-162.144,-1663.368,OK,-71.808,-190.208,-1667.146,OK,-97.680,-238.751,-1678.171,OK,-130.773,-200.995,-1664.559
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191442,1,OK,0.9978421,0.0595403,0.0224574,-0.0161777,18.591,-13.655,-1627.303,0.2053920,4,OK,18.534,-13.645,-1627.319,OK,-20.118,30.993,-1621.168,OK,-23.101,-81.624,-1632.832,OK,-46.521,-12.456,-1624.735,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191442,1,OK,0.4445240,0.1020875,-0.0976752,0.8845542,-34.598,-157.524,-1680.758,0.1094770,4,OK,-32.774,-162.296,-1663.281,OK,-71.632,-190.419,-1667.019,OK,-97.426,-239.005,-1677.991,OK,-130.580,-201.307,-1664.402
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191445,1,OK,0.9978475,0.0595990,0.0220733,-0.0161555,18.589,-13.647,-1627.265,0.2072549,4,OK,18.532,-13.638,-1627.295,OK,-20.126,30.999,-1621.135,OK,-23.099,-81.613,-1632.820,OK,-46.523,-12.446,-1624.769,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191445,1,OK,0.4444687,0.1020251,-0.0974870,0.8846099,-34.589,-157.539,-1680.706,0.1353497,4,OK,-32.761,-162.303,-1663.252,OK,-71.621,-190.429,-1666.901,OK,-97.403,-239.041,-1677.921,OK,-130.562,-201.328,-1664.340
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191448,1,OK,0.9978305,0.0596744,0.0226353,-0.0161544,18.592,-13.650,-1627.298,0.2064922,4,OK,18.534,-13.637,-1627.325,OK,-20.116,30.988,-1621.122,OK,-23.098,-81.620,-1632.821,OK,-46.520,-12.454,-1624.725,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191448,1,OK,0.4446864,0.1025982,-0.0971752,0.8844686,-34.641,-157.492,-1680.575,0.1472710,4,OK,-32.795,-162.252,-1663.138,OK,-71.663,-190.378,-1666.689,OK,-97.479,-238.972,-1677.707,OK,-130.604,-201.243,-1664.082
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191451,1,OK,0.9978303,0.0596897,0.0226165,-0.0161357,18.592,-13.651,-1627.292,0.2083901,4,OK,18.531,-13.639,-1627.314,OK,-20.119,30.993,-1621.122,OK,-23.096,-81.630,-1632.824,OK,-46.515,-12.455,-1624.713,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191451,1,OK,0.4446924,0.1046022,-0.0962715,0.8843296,-34.629,-157.574,-1680.313,0.1243969,4,OK,-32.700,-162.340,-1662.862,OK,-71.577,-190.480,-1666.320,OK,-97.414,-239.070,-1677.172,OK,-130.504,-201.379,-1663.400
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191454,1,OK,0.9978381,0.0596733,0.0222913,-0.0161685,18.595,-13.647,-1627.259,0.2059556,4,OK,18.539,-13.632,-1627.274,OK,-20.114,30.997,-1621.126,OK,-23.098,-81.619,-1632.821,OK,-46.520,-12.446,-1624.712,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191454,1,OK,0.4450126,0.1073917,-0.0959366,0.8838705,-34.707,-157.505,-1679.855,0.1019202,4,OK,-32.687,-162.303,-1662.400,OK,-71.597,-190.435,-1665.775,OK,-97.504,-238.974,-1676.517,OK,-130.500,-201.308,-1662.500
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111191457,1,OK,0.9978383,0.0596668,0.0223102,-0.0161481,18.599,-13.651,-1627.266,0.2058115,4,OK,18.543,-13.641,-1627.292,OK,-20.115,30.990,-1621.117,OK,-23.089,-81.620,-1632.815,OK,-46.515,-12.451,-1624.733,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111191457,1,OK,0.4459942,0.1108854,-0.0958402,0.8829543,-34.884,-157.314,-1679.411,0.1385135,4,OK,-32.765,-162.172,-1662.025,OK,-71.728,-190.202,-1665.099,OK,-97.811,-238.694,-1675.916,OK,-130.646,-200.984,-1661.562
