Tools,Port 1: hurwa TestFinger  s/n:3BA21801,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: Hurwa SharpProbe  s/n:3B99C404,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192768,1,OK,0.9978281,0.0598368,0.0223300,-0.0161276,18.600,-13.703,-1627.310,0.2045692,4,OK,18.543,-13.690,-1627.317,OK,-20.116,30.939,-1621.174,OK,-23.089,-81.680,-1632.901,OK,-46.508,-12.506,-1624.745,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192768,1,OK,0.8821871,-0.0538467,-0.0015371,0.4678077,-15.725,107.200,-1674.905,0.0926930,4,OK,-16.632,108.810,-1656.738,OK,-56.257,135.722,-1661.358,OK,-111.800,142.861,-1665.020,OK,-85.483,187.673,-1667.831
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192771,1,OK,0.9978520,0.0595112,0.0221332,-0.0161243,18.598,-13.710,-1627.318,0.2073514,4,OK,18.540,-13.701,-1627.348,OK,-20.122,30.934,-1621.190,OK,-23.086,-81.684,-1632.857,OK,-46.512,-12.511,-1624.815,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192771,1,OK,0.8828464,-0.0541461,0.0044414,0.4665091,-15.614,107.467,-1674.165,0.1004950,4,OK,-16.311,109.180,-1655.982,OK,-55.916,136.215,-1660.412,OK,-111.463,143.539,-1663.518,OK,-85.018,188.232,-1666.867
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192774,1,OK,0.9978407,0.0597278,0.0220693,-0.0161104,18.600,-13.707,-1627.286,0.2066694,4,OK,18.548,-13.690,-1627.308,OK,-20.117,30.933,-1621.156,OK,-23.086,-81.682,-1632.867,OK,-46.515,-12.513,-1624.779,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192774,1,OK,0.8827618,-0.0537880,0.0067085,0.4666834,-15.667,107.438,-1673.869,0.1044129,4,OK,-16.288,109.176,-1655.680,OK,-55.906,136.208,-1659.996,OK,-111.476,143.511,-1662.855,OK,-85.050,188.203,-1666.387
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192777,1,OK,0.9978404,0.0597267,0.0220537,-0.0161531,18.608,-13.711,-1627.287,0.2078781,4,OK,18.557,-13.696,-1627.311,OK,-20.107,30.934,-1621.156,OK,-23.084,-81.685,-1632.868,OK,-46.509,-12.510,-1624.784,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192777,1,OK,0.8826566,-0.0543533,0.0066031,0.4668184,-15.686,107.384,-1673.881,0.1048678,4,OK,-16.317,109.137,-1655.714,OK,-55.938,136.145,-1660.023,OK,-111.522,143.439,-1662.978,OK,-85.109,188.134,-1666.530
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192780,1,OK,0.9978414,0.0595308,0.0225720,-0.0160996,18.606,-13.708,-1627.334,0.2030897,4,OK,18.554,-13.701,-1627.341,OK,-20.115,30.935,-1621.207,OK,-23.079,-81.686,-1632.864,OK,-46.504,-12.519,-1624.737,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192780,1,OK,0.8826712,-0.0554300,0.0067581,0.4666620,-15.665,107.362,-1674.139,0.1018287,4,OK,-16.321,109.157,-1655.951,OK,-55.925,136.170,-1660.420,OK,-111.485,143.461,-1663.367,OK,-85.064,188.140,-1666.993
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192783,1,OK,0.9978304,0.0600504,0.0216613,-0.0160988,18.604,-13.709,-1627.285,0.2105930,4,OK,18.550,-13.698,-1627.306,OK,-20.118,30.938,-1621.161,OK,-23.077,-81.685,-1632.947,OK,-46.514,-12.510,-1624.829,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192783,1,OK,0.8826123,-0.0563982,0.0050229,0.4666792,-15.645,107.351,-1674.539,0.1014611,4,OK,-16.364,109.142,-1656.369,OK,-55.973,136.146,-1660.953,OK,-111.516,143.421,-1664.158,OK,-85.099,188.121,-1667.684
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192786,1,OK,0.9978436,0.0596698,0.0221045,-0.0160927,18.607,-13.711,-1627.290,0.2089787,4,OK,18.559,-13.694,-1627.321,OK,-20.110,30.925,-1621.148,OK,-23.077,-81.686,-1632.851,OK,-46.516,-12.520,-1624.793,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192786,1,OK,0.8831878,-0.0562353,0.0049812,0.4656094,-15.477,107.591,-1674.591,0.1038746,4,OK,-16.194,109.381,-1656.445,OK,-55.728,136.479,-1660.948,OK,-111.271,143.895,-1664.214,OK,-84.731,188.516,-1667.718
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192789,1,OK,0.9978415,0.0596941,0.0220963,-0.0161461,18.607,-13.710,-1627.300,0.2035832,4,OK,18.557,-13.696,-1627.306,OK,-20.106,30.931,-1621.198,OK,-23.081,-81.684,-1632.891,OK,-46.514,-12.507,-1624.762,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192789,1,OK,0.8831028,-0.0567181,0.0068621,0.4656881,-15.502,107.571,-1674.437,0.1015233,4,OK,-16.171,109.413,-1656.295,OK,-55.713,136.493,-1660.752,OK,-111.266,143.901,-1663.878,OK,-84.736,188.511,-1667.576
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192792,1,OK,0.9978440,0.0597375,0.0218647,-0.0161492,18.615,-13.707,-1627.294,0.2056853,4,OK,18.563,-13.689,-1627.310,OK,-20.098,30.937,-1621.189,OK,-23.078,-81.675,-1632.898,OK,-46.502,-12.510,-1624.804,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192792,1,OK,0.8824644,-0.0562305,0.0060623,0.4669668,-15.682,107.306,-1674.482,0.0988114,4,OK,-16.372,109.112,-1656.325,OK,-55.993,136.089,-1660.809,OK,-111.549,143.339,-1663.938,OK,-85.167,188.033,-1667.546
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111192795,1,OK,0.9978624,0.0593853,0.0220132,-0.0161099,18.616,-13.705,-1627.300,0.2074260,4,OK,18.561,-13.691,-1627.324,OK,-20.103,30.941,-1621.201,OK,-23.069,-81.681,-1632.836,OK,-46.496,-12.514,-1624.804,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111192795,1,OK,0.8826476,-0.0558059,0.0060673,0.4666713,-15.635,107.389,-1674.401,0.0952733,4,OK,-16.312,109.192,-1656.248,OK,-55.921,136.174,-1660.681,OK,-111.481,143.490,-1663.799,OK,-85.057,188.155,-1667.380
