TastIDЭ????? src01 dest55 time9:29:54 type0002 subtype count0 ?óê?μ?×üêy?Yá?0 ?óê?êy?Y
TastID协同任务 src07 dest55 time9:42:34 type0002 subtype count0 接收的总数据量0 接收数据
TastID协同任务 src07 dest55 time9:42:35 type0005 subtype count0 接收的总数据量1 接收数据
TastID协同任务 src07 dest55 time9:42:36 type0007 subtype count0 接收的总数据量2 接收数据
TastID协同任务 src10 dest55 time9:41:45 type0002 subtype count0 接收的总数据量3 接收数据
TastID协同任务 src10 dest55 time9:41:46 type0005 subtype count0 接收的总数据量4 接收数据
TastID协同任务 src10 dest55 time9:41:47 type0007 subtype count0 接收的总数据量5 接收数据
TastID协同任务 src04 dest55 time9:36:16 type0002 subtype count0 接收的总数据量6 接收数据
TastID协同任务 src04 dest55 time9:36:16 type0005 subtype count0 接收的总数据量7 接收数据
TastID协同任务 src04 dest55 time9:36:17 type0007 subtype count0 接收的总数据量8 接收数据
TastID协同任务 src07 dest55 time9:43:11 type0007 subtype count10 接收的总数据量9 接收数据
TastID协同任务 src10 dest55 time9:42:21 type0007 subtype count10 接收的总数据量10 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count10 接收的总数据量11 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count11 接收的总数据量12 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count11 接收的总数据量13 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count11 接收的总数据量14 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count12 接收的总数据量15 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count12 接收的总数据量16 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count12 接收的总数据量17 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count13 接收的总数据量18 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count13 接收的总数据量19 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count13 接收的总数据量20 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count14 接收的总数据量21 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count14 接收的总数据量22 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count14 接收的总数据量23 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count15 接收的总数据量24 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count15 接收的总数据量25 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count15 接收的总数据量26 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count16 接收的总数据量27 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count16 接收的总数据量28 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count16 接收的总数据量29 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count17 接收的总数据量30 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count17 接收的总数据量31 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count17 接收的总数据量32 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count18 接收的总数据量33 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count18 接收的总数据量34 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count18 接收的总数据量35 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count19 接收的总数据量36 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count19 接收的总数据量37 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count19 接收的总数据量38 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count20 接收的总数据量39 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count20 接收的总数据量40 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count20 接收的总数据量41 接收数据
TastID协同任务 src04 dest55 time9:36:43 type0007 subtype count21 接收的总数据量42 接收数据
TastID协同任务 src07 dest55 time9:43:24 type0007 subtype count21 接收的总数据量43 接收数据
TastID协同任务 src10 dest55 time9:42:29 type0007 subtype count21 接收的总数据量44 接收数据
