Tools,Port 1: hurwa TestFinger  s/n:3BA21801,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: Hurwa SharpProbe  s/n:3B99C404,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184617,1,OK,0.9978661,0.0594280,0.0217014,-0.0161446,18.678,-13.708,-1626.990,0.2051852,4,OK,18.623,-13.689,-1627.006,OK,-20.040,30.940,-1620.926,OK,-23.014,-81.683,-1632.567,OK,-46.433,-12.508,-1624.522,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184617,1,OK,0.9648616,0.0898350,0.0064532,0.2468403,26.196,143.884,-1641.651,0.0944074,4,OK,27.263,140.666,-1623.715,OK,4.502,182.202,-1615.168,OK,-41.429,213.464,-1607.148,OK,2.523,241.227,-1604.883
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184620,1,OK,0.9978353,0.0599985,0.0215788,-0.0160993,18.672,-13.679,-1626.954,0.2124886,4,OK,18.617,-13.659,-1626.985,OK,-20.045,30.961,-1620.824,OK,-23.013,-81.654,-1632.603,OK,-46.449,-12.485,-1624.526,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184620,1,OK,0.9647546,0.0914970,0.0087330,0.2465779,26.283,143.862,-1641.186,0.1091394,4,OK,27.443,140.611,-1623.294,OK,4.735,182.119,-1614.446,OK,-41.161,213.370,-1606.197,OK,2.818,241.134,-1604.103
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184623,1,OK,0.9978613,0.0594746,0.0218424,-0.0160785,18.669,-13.691,-1626.973,0.2123045,4,OK,18.611,-13.676,-1627.014,OK,-20.047,30.947,-1620.854,OK,-23.009,-81.662,-1632.519,OK,-46.450,-12.504,-1624.526,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184623,1,OK,0.9650638,0.0940184,0.0114690,0.2442967,26.880,143.990,-1640.333,0.1025888,4,OK,28.147,140.674,-1622.450,OK,5.678,182.247,-1613.333,OK,-40.029,213.653,-1604.635,OK,4.068,241.221,-1602.753
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184626,1,OK,0.9978261,0.0598959,0.0222610,-0.0161220,18.670,-13.699,-1626.972,0.2047485,4,OK,18.615,-13.687,-1626.995,OK,-20.046,30.937,-1620.811,OK,-23.015,-81.670,-1632.560,OK,-46.442,-12.500,-1624.440,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184626,1,OK,0.9649830,0.0951733,0.0120257,0.2441416,26.945,143.965,-1640.047,0.0990116,4,OK,28.239,140.611,-1622.164,OK,5.795,182.175,-1612.953,OK,-39.894,213.564,-1604.097,OK,4.216,241.133,-1602.233
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184629,1,OK,0.9978333,0.0599149,0.0218915,-0.0161147,18.676,-13.678,-1626.948,0.2043223,4,OK,18.617,-13.662,-1626.948,OK,-20.041,30.963,-1620.849,OK,-23.011,-81.651,-1632.591,OK,-46.434,-12.483,-1624.430,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184629,1,OK,0.9647568,0.0940446,0.0099971,0.2455606,26.582,143.856,-1640.384,0.0953604,4,OK,27.799,140.529,-1622.485,OK,5.211,182.043,-1613.445,OK,-40.596,213.329,-1604.826,OK,3.432,241.005,-1602.785
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184632,1,OK,0.9978268,0.0599664,0.0220244,-0.0161424,18.677,-13.711,-1626.979,0.2119344,4,OK,18.623,-13.690,-1627.006,OK,-20.034,30.934,-1620.824,OK,-23.017,-81.681,-1632.592,OK,-46.440,-12.519,-1624.487,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184632,1,OK,0.9644595,0.0931453,0.0065061,0.2471832,26.116,143.721,-1640.985,0.1063269,4,OK,27.218,140.382,-1623.093,OK,4.440,181.848,-1614.180,OK,-41.511,213.023,-1605.929,OK,2.424,240.809,-1603.558
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184635,1,OK,0.9978321,0.0600061,0.0216852,-0.0161296,18.668,-13.685,-1626.925,0.2119320,4,OK,18.613,-13.665,-1626.956,OK,-20.047,30.958,-1620.786,OK,-23.022,-81.656,-1632.567,OK,-46.446,-12.489,-1624.484,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184635,1,OK,0.9645716,0.0922964,0.0050757,0.2470975,26.153,143.750,-1641.028,0.0965529,4,OK,27.185,140.443,-1623.120,OK,4.412,181.916,-1614.339,OK,-41.550,213.103,-1606.253,OK,2.397,240.883,-1603.767
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184638,1,OK,0.9978145,0.0599766,0.0225614,-0.0161263,18.667,-13.692,-1627.002,0.2083147,4,OK,18.612,-13.679,-1627.025,OK,-20.046,30.947,-1620.811,OK,-23.020,-81.671,-1632.578,OK,-46.444,-12.493,-1624.432,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184638,1,OK,0.9649012,0.0930588,0.0070724,0.2454706,26.526,143.906,-1640.804,0.1035526,4,OK,27.634,140.583,-1622.915,OK,5.015,182.119,-1613.981,OK,-40.814,213.447,-1605.700,OK,3.223,241.102,-1603.401
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184641,1,OK,0.9978125,0.0601575,0.0221587,-0.0161306,18.673,-13.696,-1626.945,0.2083786,4,OK,18.613,-13.674,-1626.942,OK,-20.035,30.943,-1620.808,OK,-23.017,-81.677,-1632.603,OK,-46.442,-12.498,-1624.387,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184641,1,OK,0.9646178,0.0928504,0.0063646,0.2466795,26.242,143.780,-1640.933,0.0995121,4,OK,27.323,140.458,-1623.032,OK,4.602,181.946,-1614.164,OK,-41.318,213.161,-1605.937,OK,2.645,240.918,-1603.564
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111184644,1,OK,0.9978218,0.0599004,0.0224272,-0.0161445,18.675,-13.682,-1626.936,0.2040023,4,OK,18.625,-13.665,-1626.945,OK,-20.039,30.956,-1620.784,OK,-23.017,-81.661,-1632.526,OK,-46.438,-12.479,-1624.360,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111184644,1,OK,0.9643584,0.0925351,0.0059761,0.2478192,25.975,143.664,-1641.063,0.0957026,4,OK,27.050,140.353,-1623.151,OK,4.214,181.788,-1614.351,OK,-41.785,212.911,-1606.162,OK,2.119,240.755,-1603.752
