Tools,Port 1: hurwa TestFinger  s/n:3BA21801,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: Hurwa SharpProbe  s/n:3B99C404,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189843,1,OK,0.9978364,0.0597338,0.0222455,-0.0161088,18.616,-13.695,-1627.301,0.2106681,4,OK,18.562,-13.675,-1627.328,OK,-20.099,30.947,-1621.147,OK,-23.071,-81.678,-1632.863,OK,-46.497,-12.500,-1624.780,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189843,1,OK,0.6895692,0.0308026,-0.0154883,0.7233986,-202.889,-53.162,-1639.825,0.0958653,4,OK,-202.360,-54.384,-1621.645,OK,-250.414,-56.590,-1620.549,OK,-299.315,-84.072,-1621.299,OK,-305.268,-32.490,-1617.804
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189846,1,OK,0.9978485,0.0595081,0.0222905,-0.0161355,18.618,-13.696,-1627.306,0.2035567,4,OK,18.561,-13.682,-1627.326,OK,-20.097,30.944,-1621.181,OK,-23.070,-81.671,-1632.841,OK,-46.491,-12.497,-1624.767,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189846,1,OK,0.6879274,0.0293606,-0.0145803,0.7250388,-202.853,-53.733,-1639.868,0.1217848,4,OK,-202.341,-54.892,-1621.722,OK,-250.360,-57.329,-1620.555,OK,-299.152,-85.024,-1621.354,OK,-305.366,-33.462,-1618.031
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189849,1,OK,0.9978469,0.0596382,0.0220192,-0.0161226,18.618,-13.700,-1627.279,0.2045752,4,OK,18.561,-13.683,-1627.294,OK,-20.098,30.941,-1621.172,OK,-23.069,-81.677,-1632.859,OK,-46.494,-12.500,-1624.767,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189849,1,OK,0.6871845,0.0295653,-0.0161222,0.7257020,-202.830,-53.958,-1640.019,0.1179387,4,OK,-202.343,-55.157,-1621.863,OK,-250.367,-57.685,-1620.825,OK,-299.120,-85.496,-1621.761,OK,-305.410,-33.933,-1618.319
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189852,1,OK,0.9978311,0.0598344,0.0222487,-0.0160612,18.618,-13.691,-1627.318,0.2055898,4,OK,18.559,-13.673,-1627.333,OK,-20.100,30.943,-1621.177,OK,-23.064,-81.669,-1632.908,OK,-46.491,-12.509,-1624.777,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189852,1,OK,0.6870539,0.0289729,-0.0171767,0.7258253,-202.824,-53.992,-1640.263,0.1098208,4,OK,-202.368,-55.205,-1622.092,OK,-250.422,-57.743,-1621.211,OK,-299.147,-85.565,-1622.244,OK,-305.457,-34.017,-1618.780
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189855,1,OK,0.9978413,0.0597493,0.0219876,-0.0161025,18.616,-13.695,-1627.307,0.2090270,4,OK,18.566,-13.673,-1627.328,OK,-20.102,30.948,-1621.182,OK,-23.075,-81.672,-1632.899,OK,-46.497,-12.508,-1624.811,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189855,1,OK,0.6869183,0.0292236,-0.0173000,0.7259408,-202.837,-54.010,-1640.341,0.1028974,4,OK,-202.381,-55.231,-1622.163,OK,-250.435,-57.790,-1621.299,OK,-299.143,-85.633,-1622.318,OK,-305.466,-34.078,-1618.826
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189858,1,OK,0.9978236,0.0599823,0.0221839,-0.0160622,18.617,-13.690,-1627.320,0.2078007,4,OK,18.556,-13.679,-1627.331,OK,-20.102,30.951,-1621.177,OK,-23.061,-81.667,-1632.940,OK,-46.492,-12.507,-1624.781,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189858,1,OK,0.6870063,0.0282160,-0.0159002,0.7259293,-202.852,-54.021,-1640.320,0.1006519,4,OK,-202.395,-55.180,-1622.140,OK,-250.434,-57.732,-1621.238,OK,-299.152,-85.562,-1622.145,OK,-305.469,-34.015,-1618.827
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189861,1,OK,0.9978456,0.0595764,0.0222591,-0.0161054,18.625,-13.685,-1627.352,0.2095280,4,OK,18.579,-13.669,-1627.387,OK,-20.097,30.956,-1621.201,OK,-23.063,-81.667,-1632.886,OK,-46.488,-12.488,-1624.840,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189861,1,OK,0.6871419,0.0291368,-0.0165206,0.7257507,-202.823,-53.948,-1640.102,0.1092485,4,OK,-202.362,-55.144,-1621.941,OK,-250.401,-57.685,-1620.972,OK,-299.126,-85.482,-1621.955,OK,-305.413,-33.945,-1618.522
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189864,1,OK,0.9978581,0.0595563,0.0217095,-0.0161544,18.622,-13.684,-1627.299,0.2062552,4,OK,18.580,-13.665,-1627.322,OK,-20.094,30.960,-1621.211,OK,-23.072,-81.654,-1632.884,OK,-46.501,-12.485,-1624.840,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189864,1,OK,0.6870882,0.0303457,-0.0162602,0.7257579,-202.841,-53.952,-1639.996,0.1155282,4,OK,-202.341,-55.173,-1621.843,OK,-250.376,-57.714,-1620.761,OK,-299.103,-85.530,-1621.689,OK,-305.390,-33.987,-1618.176
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189867,1,OK,0.9978457,0.0596111,0.0221088,-0.0161782,18.615,-13.703,-1627.314,0.2050596,4,OK,18.550,-13.685,-1627.324,OK,-20.091,30.942,-1621.209,OK,-23.080,-81.672,-1632.886,OK,-46.494,-12.503,-1624.784,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189867,1,OK,0.6870145,0.0298882,-0.0155745,0.7258617,-202.841,-54.007,-1639.948,0.1035076,4,OK,-202.335,-55.195,-1621.778,OK,-250.365,-57.758,-1620.721,OK,-299.092,-85.579,-1621.556,OK,-305.392,-34.036,-1618.126
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111189870,1,OK,0.9978549,0.0594553,0.0221376,-0.0161421,18.619,-13.685,-1627.326,0.2054389,4,OK,18.562,-13.665,-1627.343,OK,-20.096,30.960,-1621.222,OK,-23.074,-81.662,-1632.868,OK,-46.489,-12.489,-1624.803,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111189870,1,OK,0.6871986,0.0305518,-0.0156077,0.7256591,-202.858,-53.903,-1639.989,0.1193872,4,OK,-202.329,-55.112,-1621.838,OK,-250.360,-57.646,-1620.689,OK,-299.109,-85.445,-1621.546,OK,-305.389,-33.895,-1618.059
