Tools,Port 1: hurwa TestFinger  s/n:3BA21801,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: Hurwa SharpProbe  s/n:3B99C404,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194970,1,OK,0.9978413,0.0597937,0.0218448,-0.0161310,18.600,-13.687,-1627.279,0.2064040,4,OK,18.542,-13.676,-1627.292,OK,-20.117,30.959,-1621.177,OK,-23.086,-81.661,-1632.898,OK,-46.513,-12.487,-1624.785,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194970,1,OK,0.6746033,-0.0863883,0.0911825,0.7274154,-204.327,-77.894,-1671.679,0.0941105,4,OK,-204.299,-73.383,-1654.024,OK,-252.261,-76.737,-1653.148,OK,-300.393,-104.731,-1646.195,OK,-307.745,-54.833,-1659.054
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194973,1,OK,0.9978334,0.0596741,0.0225474,-0.0160995,18.605,-13.664,-1627.323,0.2039651,4,OK,18.552,-13.652,-1627.335,OK,-20.113,30.974,-1621.177,OK,-23.079,-81.645,-1632.869,OK,-46.507,-12.471,-1624.737,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194973,1,OK,0.6741106,-0.0867020,0.0887657,0.7281334,-204.302,-78.131,-1672.136,0.1004706,4,OK,-204.344,-73.675,-1654.473,OK,-252.301,-77.128,-1653.762,OK,-300.406,-105.254,-1647.076,OK,-307.805,-55.340,-1659.802
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194976,1,OK,0.9978497,0.0596050,0.0219891,-0.0161129,18.612,-13.690,-1627.271,0.2078998,4,OK,18.560,-13.676,-1627.293,OK,-20.102,30.953,-1621.158,OK,-23.072,-81.661,-1632.841,OK,-46.509,-12.499,-1624.774,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194976,1,OK,0.6766732,-0.0898088,0.0872200,0.7255621,-204.358,-77.366,-1673.031,0.1053488,4,OK,-204.497,-72.872,-1655.385,OK,-252.484,-76.022,-1655.006,OK,-300.827,-103.820,-1648.647,OK,-307.806,-53.898,-1661.521
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194979,1,OK,0.9978260,0.0597500,0.0226558,-0.0161240,18.603,-13.670,-1627.325,0.2052591,4,OK,18.541,-13.659,-1627.342,OK,-20.111,30.970,-1621.155,OK,-23.084,-81.647,-1632.867,OK,-46.500,-12.476,-1624.734,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194979,1,OK,0.6807517,-0.0965353,0.0896862,0.7205653,-204.456,-75.908,-1673.907,0.0978907,4,OK,-204.700,-71.186,-1656.317,OK,-252.706,-73.763,-1656.298,OK,-301.416,-100.900,-1649.967,OK,-307.694,-51.061,-1663.536
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194982,1,OK,0.9978290,0.0598442,0.0222842,-0.0161030,18.596,-13.681,-1627.304,0.2090147,4,OK,18.548,-13.668,-1627.322,OK,-20.122,30.963,-1621.154,OK,-23.090,-81.660,-1632.889,OK,-46.522,-12.489,-1624.762,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194982,1,OK,0.6852953,-0.0969659,0.0902131,0.7161211,-204.538,-74.364,-1674.022,0.0944110,4,OK,-204.746,-69.617,-1656.427,OK,-252.785,-71.583,-1656.515,OK,-301.849,-98.088,-1650.202,OK,-307.470,-48.214,-1663.837
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194985,1,OK,0.9978226,0.0599341,0.0222731,-0.0161819,18.603,-13.686,-1627.349,0.2079588,4,OK,18.548,-13.678,-1627.360,OK,-20.106,30.964,-1621.203,OK,-23.087,-81.658,-1632.954,OK,-46.515,-12.478,-1624.796,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194985,1,OK,0.6902014,-0.0944265,0.0886443,0.7119325,-204.595,-72.830,-1674.121,0.0996943,4,OK,-204.746,-68.188,-1656.508,OK,-252.802,-69.528,-1656.588,OK,-302.207,-95.444,-1650.462,OK,-307.186,-45.407,-1663.805
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194988,1,OK,0.9978175,0.0600669,0.0221628,-0.0161587,18.620,-13.673,-1627.287,0.2081362,4,OK,18.561,-13.658,-1627.313,OK,-20.092,30.968,-1621.113,OK,-23.072,-81.644,-1632.903,OK,-46.488,-12.469,-1624.774,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194988,1,OK,0.6957626,-0.0953153,0.0870824,0.7065735,-204.616,-71.006,-1674.735,0.1166969,4,OK,-204.795,-66.377,-1657.149,OK,-252.863,-67.015,-1657.398,OK,-302.679,-92.188,-1651.645,OK,-306.843,-42.070,-1664.957
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194991,1,OK,0.9978372,0.0593644,0.0231312,-0.0161771,18.615,-13.690,-1627.360,0.2032548,4,OK,18.564,-13.686,-1627.388,OK,-20.098,30.953,-1621.173,OK,-23.079,-81.662,-1632.801,OK,-46.492,-12.488,-1624.721,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194991,1,OK,0.7000252,-0.0993926,0.0882907,0.7016342,-204.634,-69.511,-1675.428,0.1053976,4,OK,-204.863,-64.751,-1657.860,OK,-252.921,-64.785,-1658.438,OK,-303.088,-89.296,-1652.746,OK,-306.544,-39.249,-1666.448
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194994,1,OK,0.9978610,0.0592411,0.0224345,-0.0161423,18.599,-13.679,-1627.329,0.2047417,4,OK,18.548,-13.658,-1627.354,OK,-20.114,30.961,-1621.208,OK,-23.095,-81.656,-1632.810,OK,-46.511,-12.485,-1624.781,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194994,1,OK,0.7027365,-0.0938121,0.0856329,0.7000198,-204.649,-68.695,-1675.038,0.1048329,4,OK,-204.789,-64.140,-1657.417,OK,-252.848,-63.861,-1657.826,OK,-303.151,-88.108,-1652.261,OK,-306.331,-37.873,-1665.363
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111194997,1,OK,0.9978309,0.0595815,0.0229078,-0.0160856,18.598,-13.671,-1627.347,0.2004935,4,OK,18.542,-13.661,-1627.354,OK,-20.118,30.960,-1621.190,OK,-23.082,-81.652,-1632.857,OK,-46.511,-12.480,-1624.706,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111194997,1,OK,0.7080183,-0.0814174,0.0769257,0.6972544,-204.639,-67.262,-1674.468,0.1053718,4,OK,-204.640,-63.251,-1656.698,OK,-252.722,-62.371,-1656.967,OK,-303.283,-86.216,-1651.893,OK,-305.933,-35.540,-1663.473
