Tools,Port 1: hurwa TestFinger  s/n:3BA21801,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: Hurwa SharpProbe  s/n:3B99C404,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196056,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.640,-13.652,-1627.301,3D Error,-20.015,30.974,-1621.167,OK,-21.783,-81.990,-1629.184,OK,-46.407,-12.462,-1624.733,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196056,1,OK,0.5940691,0.2447389,0.3233508,0.6947151,-32.708,-50.769,-1552.418,0.1293734,4,OK,-19.332,-47.872,-1540.243,OK,-51.621,-51.884,-1504.656,OK,-80.609,-80.895,-1466.351,OK,-91.957,-30.065,-1466.112
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196059,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.636,-13.630,-1627.296,3D Error,-20.016,31.003,-1621.157,OK,-21.837,-81.965,-1629.192,OK,-46.418,-12.447,-1624.796,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196059,1,OK,0.5948270,0.2448394,0.3232384,0.6940832,-32.746,-50.525,-1552.421,0.1241529,4,OK,-19.373,-47.649,-1540.223,OK,-51.674,-51.584,-1504.687,OK,-80.712,-80.506,-1466.351,OK,-91.968,-29.666,-1466.131
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196062,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.636,-13.650,-1627.310,3D Error,-20.015,30.982,-1621.168,OK,-21.819,-81.984,-1629.278,OK,-46.419,-12.452,-1624.813,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196062,1,OK,0.5947848,0.2455902,0.3224458,0.6942227,-32.737,-50.683,-1552.434,0.1278452,4,OK,-19.358,-47.845,-1540.273,OK,-51.657,-51.823,-1504.628,OK,-80.720,-80.817,-1466.440,OK,-91.946,-29.966,-1466.109
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196065,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.648,-13.643,-1627.343,3D Error,-20.001,30.979,-1621.161,OK,-21.773,-81.984,-1629.226,OK,-46.411,-12.456,-1624.779,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196065,1,OK,0.5942525,0.2460860,0.3223383,0.6945528,-32.655,-50.839,-1552.387,0.1209877,4,OK,-19.276,-48.001,-1540.200,OK,-51.538,-52.059,-1504.619,OK,-80.552,-81.113,-1466.381,OK,-91.807,-30.274,-1465.989
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196068,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.645,-13.640,-1627.388,3D Error,-20.010,30.991,-1621.154,OK,-21.759,-81.988,-1629.090,OK,-46.413,-12.447,-1624.756,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196068,1,OK,0.5939695,0.2464167,0.3227811,0.6944720,-32.556,-50.827,-1552.311,0.1259338,4,OK,-19.155,-47.990,-1540.142,OK,-51.390,-52.039,-1504.524,OK,-80.335,-81.103,-1466.247,OK,-91.615,-30.267,-1465.837
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196071,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.645,-13.651,-1627.369,3D Error,-20.007,30.982,-1621.176,OK,-21.738,-82.004,-1629.024,OK,-46.413,-12.468,-1624.808,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196071,1,OK,0.5933371,0.2451844,0.3245384,0.6946298,-32.460,-50.783,-1552.200,0.1293057,4,OK,-19.059,-47.858,-1540.079,OK,-51.249,-51.882,-1504.350,OK,-80.108,-80.890,-1465.995,OK,-91.508,-30.088,-1465.774
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196074,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.640,-13.629,-1627.293,3D Error,-20.015,31.002,-1621.180,OK,-21.739,-81.985,-1628.990,OK,-46.418,-12.440,-1624.813,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196074,1,OK,0.5930420,0.2448425,0.3247055,0.6949242,-32.513,-50.827,-1552.233,0.1293804,4,OK,-19.115,-47.886,-1540.106,OK,-51.307,-51.931,-1504.407,OK,-80.151,-80.960,-1466.025,OK,-91.610,-30.166,-1465.816
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196077,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.649,-13.655,-1627.341,3D Error,-19.997,30.976,-1621.136,OK,-21.732,-82.002,-1629.127,OK,-46.409,-12.469,-1624.786,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196077,1,OK,0.5930736,0.2446260,0.3239950,0.6953050,-32.588,-50.923,-1552.323,0.1235767,4,OK,-19.213,-47.997,-1540.168,OK,-51.449,-52.075,-1504.519,OK,-80.325,-81.145,-1466.221,OK,-91.809,-30.354,-1465.964
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196080,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.651,-13.635,-1627.334,3D Error,-20.003,30.995,-1621.194,OK,-21.742,-81.981,-1629.102,OK,-46.404,-12.446,-1624.773,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196080,1,OK,0.5928276,0.2441549,0.3237872,0.6957770,-32.663,-50.981,-1552.393,0.1206844,4,OK,-19.303,-48.041,-1540.216,OK,-51.571,-52.169,-1504.621,OK,-80.448,-81.265,-1466.342,OK,-91.993,-30.491,-1466.083
2,Port 1: hurwa TestFinger  s/n:3BA21801,1111196083,1,Too Few Markers,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,4,OK,18.631,-13.644,-1627.311,3D Error,-20.017,30.989,-1621.163,OK,-21.769,-81.984,-1629.194,OK,-46.417,-12.452,-1624.752,Port 2: Hurwa SharpProbe  s/n:3B99C404,1111196083,1,OK,0.5929640,0.2444259,0.3232300,0.6958247,-32.692,-51.069,-1552.429,0.1202228,4,OK,-19.343,-48.145,-1540.243,OK,-51.622,-52.295,-1504.649,OK,-80.530,-81.423,-1466.429,OK,-92.030,-30.635,-1466.138
